entity,code,year,total_demand__twh,total_demand__twh__original_year
Syria,SYR,2025,24.28,2024
Taiwan,TWN,2025,288.39,
Tajikistan,TJK,2025,19.47,
Tanzania,TZA,2025,9.03,2024
Thailand,THA,2025,225.1,
Togo,TGO,2025,2.21,2024
Tonga,TON,2025,0.07,2024
Trinidad and Tobago,TTO,2025,9.55,2024
Tunisia,TUN,2025,24.9,
Turkey,TUR,2025,351.93,
Turkmenistan,TKM,2025,24.01,2024
Uganda,UGA,2025,5.37,2024
United Arab Emirates,ARE,2025,177.02,2024
United Kingdom,GBR,2025,321.38,
United States,USA,2025,4535.81,
Uruguay,URY,2025,14.75,
Uzbekistan,UZB,2025,89.63,
Vanuatu,VUT,2025,0.08,2023
Venezuela,VEN,2025,80.13,2024
Vietnam,VNM,2025,313.59,
Yemen,YEM,2025,5.25,2024
Zambia,ZMB,2025,16.6,2024
Zimbabwe,ZWE,2025,12.1,2024
